Wavelength (nm)	"59, Inorg Chem 1998_4493, 8a Zn"
411.00	0.94884
412.00	0.93434
413.00	0.91983
414.00	0.90484
415.00	0.88930
416.00	0.87377
417.00	0.85748
418.00	0.83877
419.00	0.82007
420.00	0.80136
421.00	0.78265
422.00	0.76235
423.00	0.74122
424.00	0.72010
425.00	0.69898
426.00	0.67785
427.00	0.65594
428.00	0.63327
429.00	0.61061
430.00	0.58794
431.00	0.56527
432.00	0.54261
433.00	0.52151
434.00	0.50087
435.00	0.48022
436.00	0.45957
437.00	0.43892
438.00	0.41827
439.00	0.39993
440.00	0.38400
441.00	0.36806
442.00	0.35212
443.00	0.33619
444.00	0.32025
445.00	0.30432
446.00	0.28870
447.00	0.27328
448.00	0.25787
449.00	0.24245
450.00	0.22703
451.00	0.21161
452.00	0.19980
453.00	0.18945
454.00	0.17911
455.00	0.16876
456.00	0.16044
457.00	0.15299
458.00	0.14554
459.00	0.13809
460.00	0.13121
461.00	0.12554
462.00	0.11988
463.00	0.11421
464.00	0.10855
465.00	0.10322
466.00	0.099646
467.00	0.096073
468.00	0.092501
469.00	0.088928
470.00	0.085706
471.00	0.083007
472.00	0.080309
473.00	0.077611
474.00	0.074913
475.00	0.072214
476.00	0.069617
477.00	0.067923
478.00	0.066230
479.00	0.064537
480.00	0.062843
481.00	0.061150
482.00	0.059457
483.00	0.057763
484.00	0.056280
485.00	0.055032
486.00	0.053784
487.00	0.052536
488.00	0.051289
489.00	0.050041
490.00	0.048793
491.00	0.047546
492.00	0.046858
493.00	0.046278
494.00	0.045697
495.00	0.045117
496.00	0.044536
497.00	0.043956
498.00	0.043375
499.00	0.042795
500.00	0.042151
501.00	0.041472
502.00	0.040793
503.00	0.040114
504.00	0.039435
505.00	0.038756
506.00	0.038076
507.00	0.037397
508.00	0.036912
509.00	0.036541
510.00	0.036170
511.00	0.035799
512.00	0.035427
513.00	0.035056
514.00	0.034685
515.00	0.034314
516.00	0.033943
517.00	0.033572
518.00	0.033200
519.00	0.032829
520.00	0.032458
521.00	0.032087
522.00	0.031716
523.00	0.031344
524.00	0.030973
525.00	0.030602
526.00	0.030309
527.00	0.030190
528.00	0.030071
529.00	0.029953
530.00	0.029834
531.00	0.029715
532.00	0.029596
533.00	0.029477
534.00	0.029358
535.00	0.029239
536.00	0.029120
537.00	0.029001
538.00	0.028886
539.00	0.028771
540.00	0.028656
541.00	0.028541
542.00	0.028426
543.00	0.028311
544.00	0.028196
545.00	0.028081
546.00	0.027966
547.00	0.027851
548.00	0.027736
549.00	0.027617
550.00	0.027394
551.00	0.027172
552.00	0.026949
553.00	0.026726
554.00	0.026503
555.00	0.026280
556.00	0.026058
557.00	0.025835
558.00	0.025612
559.00	0.025389
560.00	0.025167
561.00	0.024944
562.00	0.024812
563.00	0.024699
564.00	0.024586
565.00	0.024473
566.00	0.024360
567.00	0.024246
568.00	0.024133
569.00	0.024020
570.00	0.023907
571.00	0.023794
572.00	0.023681
573.00	0.023567
574.00	0.023546
575.00	0.023546
576.00	0.023546
577.00	0.023546
578.00	0.023546
579.00	0.023546
580.00	0.023546
581.00	0.023546
582.00	0.023546
583.00	0.023546
584.00	0.023662
585.00	0.023888
586.00	0.024114
587.00	0.024341
588.00	0.024567
589.00	0.024794
590.00	0.025020
591.00	0.025247
592.00	0.025473
593.00	0.025700
594.00	0.025926
595.00	0.026153
596.00	0.026551
597.00	0.027121
598.00	0.027692
599.00	0.028262
600.00	0.028832
601.00	0.029402
602.00	0.029972
603.00	0.030543
604.00	0.031113
605.00	0.031683
606.00	0.032629
607.00	0.033591
608.00	0.034553
609.00	0.035514
610.00	0.036476
611.00	0.037438
612.00	0.038400
613.00	0.039361
614.00	0.040323
615.00	0.041285
616.00	0.042247
617.00	0.043208
618.00	0.044484
619.00	0.045781
620.00	0.047077
621.00	0.048373
622.00	0.049670
623.00	0.050966
624.00	0.052262
625.00	0.053558
626.00	0.054855
627.00	0.056151
628.00	0.057447
629.00	0.058743
630.00	0.060029
631.00	0.061293
632.00	0.062558
633.00	0.063822
634.00	0.065087
635.00	0.066351
636.00	0.067616
637.00	0.068880
638.00	0.070145
639.00	0.071409
640.00	0.072674
641.00	0.073938
642.00	0.075473
643.00	0.077256
644.00	0.079040
645.00	0.080824
646.00	0.082608
647.00	0.084392
648.00	0.086176
649.00	0.087959
650.00	0.089743
651.00	0.091527
652.00	0.093789
653.00	0.096055
654.00	0.098321
655.00	0.10059
656.00	0.10285
657.00	0.10512
658.00	0.10739
659.00	0.10965
660.00	0.11192
661.00	0.11418
662.00	0.11651
663.00	0.11888
664.00	0.12126
665.00	0.12364
666.00	0.12602
667.00	0.12840
668.00	0.13077
669.00	0.13315
670.00	0.13553
671.00	0.13794
672.00	0.14041
673.00	0.14287
674.00	0.14534
675.00	0.14781
676.00	0.15028
677.00	0.15275
678.00	0.15521
679.00	0.15768
680.00	0.16015
681.00	0.16311
682.00	0.16674
683.00	0.17038
684.00	0.17401
685.00	0.17765
686.00	0.18128
687.00	0.18492
688.00	0.18855
689.00	0.19219
690.00	0.19582
691.00	0.19933
692.00	0.20282
693.00	0.20631
694.00	0.20980
695.00	0.21329
696.00	0.21678
697.00	0.22027
698.00	0.22375
699.00	0.22736
700.00	0.23191
701.00	0.23647
702.00	0.24102
703.00	0.24557
704.00	0.25013
705.00	0.25468
706.00	0.25905
707.00	0.26286
708.00	0.26666
709.00	0.27047
710.00	0.27427
711.00	0.27807
712.00	0.28168
713.00	0.28511
714.00	0.28853
715.00	0.29196
716.00	0.29539
717.00	0.29817
718.00	0.29980
719.00	0.30143
720.00	0.30306
721.00	0.30469
722.00	0.30632
723.00	0.30795
724.00	0.30949
725.00	0.31098
726.00	0.31248
727.00	0.31397
728.00	0.31546
729.00	0.31696
730.00	0.31799
731.00	0.31888
732.00	0.31977
733.00	0.32066
734.00	0.32155
735.00	0.32245
736.00	0.32390
737.00	0.32562
738.00	0.32735
739.00	0.32907
740.00	0.33080
741.00	0.33253
742.00	0.33392
743.00	0.33522
744.00	0.33651
745.00	0.33781
746.00	0.33911
747.00	0.34040
748.00	0.34183
749.00	0.34341
750.00	0.34500
751.00	0.34658
752.00	0.34816
753.00	0.34975
754.00	0.35133
755.00	0.35409
756.00	0.35765
757.00	0.36122
758.00	0.36499
759.00	0.36981
760.00	0.37463
761.00	0.37945
762.00	0.38403
763.00	0.38816
764.00	0.39230
765.00	0.39643
766.00	0.40056
767.00	0.40529
768.00	0.41045
769.00	0.41560
770.00	0.42076
771.00	0.42591
772.00	0.43101
773.00	0.43488
774.00	0.43875
775.00	0.44262
776.00	0.44649
777.00	0.44975
778.00	0.45231
779.00	0.45488
780.00	0.45744
781.00	0.46001
782.00	0.46213
783.00	0.46406
784.00	0.46599
785.00	0.46792
786.00	0.46971
787.00	0.47051
788.00	0.47130
789.00	0.47209
790.00	0.47288
791.00	0.47228
792.00	0.47167
793.00	0.47107
794.00	0.47046
795.00	0.46857
796.00	0.46620
797.00	0.46382
798.00	0.46106
799.00	0.45733
800.00	0.45361
801.00	0.44988
802.00	0.44616
803.00	0.44167
804.00	0.43711
805.00	0.43255
806.00	0.42798
807.00	0.42329
808.00	0.41776
809.00	0.41224
810.00	0.40672
811.00	0.40119
812.00	0.39567
813.00	0.38949
814.00	0.38288
815.00	0.37627
816.00	0.36966
817.00	0.36305
818.00	0.35644
819.00	0.34985
820.00	0.34344
821.00	0.33702
822.00	0.33061
823.00	0.32420
824.00	0.31778
825.00	0.31137
826.00	0.30444
827.00	0.29686
828.00	0.28928
829.00	0.28170
830.00	0.27412
831.00	0.26654
832.00	0.25925
833.00	0.25252
834.00	0.24579
835.00	0.23906
836.00	0.23233
837.00	0.22560
838.00	0.21887
839.00	0.21236
840.00	0.20610
841.00	0.19984
842.00	0.19357
843.00	0.18731
844.00	0.18105
845.00	0.17479
846.00	0.16853
847.00	0.16214
848.00	0.15567
849.00	0.14921
850.00	0.14274
851.00	0.13628
852.00	0.12981
853.00	0.12490
854.00	0.12125
855.00	0.11761
856.00	0.11396
857.00	0.11032
858.00	0.10668
859.00	0.10303
860.00	0.099390
861.00	0.095614
862.00	0.091582
863.00	0.087551
864.00	0.083519
865.00	0.079487
866.00	0.075455
867.00	0.071423
868.00	0.067391
869.00	0.063360
870.00	0.060216
871.00	0.057741
872.00	0.055266
873.00	0.052792
874.00	0.050317
875.00	0.047843
876.00	0.045368
877.00	0.042738
878.00	0.040041
879.00	0.037344
880.00	0.034648
881.00	0.031951
882.00	0.029254
883.00	0.026557
884.00	0.024477
885.00	0.022744
886.00	0.021011
887.00	0.019277
888.00	0.017544
889.00	0.015811
890.00	0.014078
891.00	0.013130
892.00	0.012207
893.00	0.011284
894.00	0.010360
895.00	0.0094371
896.00	0.0085137
897.00	0.0077997
898.00	0.0073126
899.00	0.0068254
900.00	0.0063382
901.00	0.0058510
902.00	0.0053638
903.00	0.0048766
904.00	0.0043894
905.00	0.0040142
906.00	0.0037654
907.00	0.0035165
908.00	0.0032677
909.00	0.0030188
910.00	0.0027700
911.00	0.0025425
912.00	0.0023149
913.00	0.0020874
914.00	0.0018599
915.00	0.0016323
916.00	0.0014048
917.00	0.0011772
918.00	0.0011067
919.00	0.0011067
920.00	0.0011067
921.00	0.0011067
922.00	0.0011067
923.00	0.0011067
924.00	0.0011067
925.00	0.0011067
926.00	0.0011067
927.00	0.0011067
928.00	0.0011067
929.00	0.0011067
930.00	0.0011067
931.00	0.0011067
932.00	0.0011067
933.00	0.0011067
934.00	0.0011067
935.00	0.0011067
936.00	0.0011067
937.00	0.0011067
938.00	0.0011067
939.00	0.0011067
940.00	0.0011067
941.00	0.0011067
942.00	0.0011067
943.00	0.0011067
944.00	0.0011067
945.00	0.0011067
946.00	0.0011067
947.00	0.0011067
948.00	0.0011067
949.00	0.0011067
950.00	0.0011067
951.00	
952.00	
953.00	
954.00	
955.00	
956.00	
957.00	
958.00	
959.00	
960.00	
961.00	
962.00	
963.00	
964.00	
965.00	
966.00	
967.00	
968.00	
969.00	
970.00	
971.00	
972.00	
973.00	
974.00	
975.00	
976.00	
977.00	
978.00	
979.00	
980.00	
981.00	
982.00	
983.00	
984.00	
985.00	
986.00	
987.00	
988.00	
989.00	
990.00	
991.00	
992.00	
993.00	
994.00	
995.00	
996.00	
997.00	
998.00	
999.00	
1000.0	
1001.0	
1002.0	
1003.0	
1004.0	
1005.0	
1006.0	
1007.0	
1008.0	
1009.0	
1010.0	
1011.0	
1012.0	
1013.0	
1014.0	
1015.0	
1016.0	
1017.0	
1018.0	
1019.0	
1020.0	
1021.0	
1022.0	
1023.0	
1024.0	
1025.0	
1026.0	
1027.0	
1028.0	
1029.0	
1030.0	
1031.0	
1032.0	
1033.0	
1034.0	
1035.0	
1036.0	
1037.0	
1038.0	
1039.0	
1040.0	
1041.0	
1042.0	
1043.0	
1044.0	
1045.0	
1046.0	
1047.0	
1048.0	
1049.0	
1050.0	
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
