Wavelength (nm)	165, OBC 2017_7255, 3
628.00	0.082124
629.00	0.078034
630.00	0.074129
631.00	0.070283
632.00	0.066437
633.00	0.062591
634.00	0.059427
635.00	0.056568
636.00	0.053709
637.00	0.050850
638.00	0.048025
639.00	0.045536
640.00	0.043047
641.00	0.040558
642.00	0.038069
643.00	0.035784
644.00	0.033954
645.00	0.032123
646.00	0.030292
647.00	0.028461
648.00	0.026727
649.00	0.025431
650.00	0.024134
651.00	0.022838
652.00	0.021542
653.00	0.020246
654.00	0.018950
655.00	0.018066
656.00	0.017229
657.00	0.016392
658.00	0.015555
659.00	0.014717
660.00	0.013880
661.00	0.013061
662.00	0.012332
663.00	0.011602
664.00	0.010873
665.00	0.010144
666.00	0.0094143
667.00	0.0087146
668.00	0.0081711
669.00	0.0076276
670.00	0.0070840
671.00	0.0065405
672.00	0.0059969
673.00	0.0055016
674.00	0.0050785
675.00	0.0046554
676.00	0.0042323
677.00	0.0038093
678.00	0.0033862
679.00	0.0031155
680.00	0.0030099
681.00	0.0029043
682.00	0.0027987
683.00	0.0026931
684.00	0.0025875
685.00	0.0024953
686.00	0.0024140
687.00	0.0023327
688.00	0.0022513
689.00	0.0021700
690.00	0.0020887
691.00	0.0020074
692.00	0.0019261
693.00	0.0019139
694.00	0.0019139
695.00	0.0019139
696.00	0.0019139
697.00	0.0019139
698.00	0.0019139
699.00	0.0019139
700.00	0.0019139
701.00	
702.00	
703.00	
704.00	
705.00	
706.00	
707.00	
708.00	
709.00	
710.00	
711.00	
712.00	
713.00	
714.00	
715.00	
716.00	
717.00	
718.00	
719.00	
720.00	
721.00	
722.00	
723.00	
724.00	
725.00	
726.00	
727.00	
728.00	
729.00	
730.00	
731.00	
732.00	
733.00	
734.00	
735.00	
736.00	
737.00	
738.00	
739.00	
740.00	
741.00	
742.00	
743.00	
744.00	
745.00	
746.00	
747.00	
748.00	
749.00	
750.00	
751.00	
752.00	
753.00	
754.00	
755.00	
756.00	
757.00	
758.00	
759.00	
760.00	
761.00	
762.00	
763.00	
764.00	
765.00	
766.00	
767.00	
768.00	
769.00	
770.00	
771.00	
772.00	
773.00	
774.00	
775.00	
776.00	
777.00	
778.00	
779.00	
780.00	
781.00	
782.00	
783.00	
784.00	
785.00	
786.00	
787.00	
788.00	
789.00	
790.00	
791.00	
792.00	
793.00	
794.00	
795.00	
796.00	
797.00	
798.00	
799.00	
800.00	
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
