Wavelength (nm)	"188, TL 2022_103_153977, 3a"
929.00	0.047170
930.00	0.058028
931.00	0.064966
932.00	0.071317
933.00	0.060374
934.00	0.044073
935.00	0.040081
936.00	0.042962
937.00	0.045369
938.00	0.047775
939.00	0.046848
940.00	0.043405
941.00	0.040031
942.00	0.037281
943.00	0.034531
944.00	0.031780
945.00	0.031952
946.00	0.033099
947.00	0.034245
948.00	0.035405
949.00	0.036908
950.00	0.038410
951.00	0.038858
952.00	0.035340
953.00	0.023405
954.00	0.012828
955.00	0.0090296
956.00	0.0078484
957.00	0.0066673
958.00	0.010991
959.00	0.014129
960.00	0.012653
961.00	0.011176
962.00	0.0099331
963.00	0.011047
964.00	0.012162
965.00	0.013276
966.00	0.010811
967.00	0.0083318
968.00	0.0077746
969.00	0.0072175
970.00	0.0066603
971.00	0.0061032
972.00	0.0055460
973.00	0.0049889
974.00	0.0039600
975.00	0.0028058
976.00	0.0016516
977.00	0.00079753
978.00	0.00079753
979.00	0.00079753
980.00	0.00079753
981.00	0.00079753
982.00	0.00079753
983.00	0.00079753
984.00	0.00090256
985.00	0.0014277
986.00	0.0019528
987.00	0.0024780
988.00	0.0050390
989.00	0.0097191
990.00	0.010250
991.00	0.0037160
992.00	0.011526
993.00	0.017058
994.00	0.010331
995.00	0.0051471
996.00	0.0013449
997.00	0.0015275
998.00	0.0017100
999.00	0.0018925
1000.0	0.0020750
1001.0	
1002.0	
1003.0	
1004.0	
1005.0	
1006.0	
1007.0	
1008.0	
1009.0	
1010.0	
1011.0	
1012.0	
1013.0	
1014.0	
1015.0	
1016.0	
1017.0	
1018.0	
1019.0	
1020.0	
1021.0	
1022.0	
1023.0	
1024.0	
1025.0	
1026.0	
1027.0	
1028.0	
1029.0	
1030.0	
1031.0	
1032.0	
1033.0	
1034.0	
1035.0	
1036.0	
1037.0	
1038.0	
1039.0	
1040.0	
1041.0	
1042.0	
1043.0	
1044.0	
1045.0	
1046.0	
1047.0	
1048.0	
1049.0	
1050.0	
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
