Wavelength (nm)	"120, M 1984_837, ZZZ-7"
574.00	0.40844
575.00	0.41091
576.00	0.41265
577.00	0.41436
578.00	0.41606
579.00	0.41777
580.00	0.41948
581.00	0.41916
582.00	0.41884
583.00	0.41852
584.00	0.41820
585.00	0.41742
586.00	0.41598
587.00	0.41455
588.00	0.41311
589.00	0.41167
590.00	0.41009
591.00	0.40837
592.00	0.40666
593.00	0.40495
594.00	0.40324
595.00	0.40153
596.00	0.39860
597.00	0.39558
598.00	0.39255
599.00	0.38952
600.00	0.38649
601.00	0.38346
602.00	0.38007
603.00	0.37639
604.00	0.37271
605.00	0.36902
606.00	0.36534
607.00	0.36166
608.00	0.35773
609.00	0.35340
610.00	0.34906
611.00	0.34472
612.00	0.34039
613.00	0.33605
614.00	0.33171
615.00	0.32737
616.00	0.32246
617.00	0.31698
618.00	0.31150
619.00	0.30603
620.00	0.30055
621.00	0.29507
622.00	0.28959
623.00	0.28412
624.00	0.27810
625.00	0.27198
626.00	0.26587
627.00	0.25975
628.00	0.25363
629.00	0.24752
630.00	0.24140
631.00	0.23528
632.00	0.22970
633.00	0.22413
634.00	0.21857
635.00	0.21300
636.00	0.20744
637.00	0.20187
638.00	0.19630
639.00	0.19076
640.00	0.18540
641.00	0.18004
642.00	0.17468
643.00	0.16931
644.00	0.16395
645.00	0.15859
646.00	0.15323
647.00	0.14787
648.00	0.14251
649.00	0.13714
650.00	0.13246
651.00	0.12779
652.00	0.12311
653.00	0.11844
654.00	0.11376
655.00	0.10908
656.00	0.10441
657.00	0.099734
658.00	0.095059
659.00	0.091284
660.00	0.088038
661.00	0.084792
662.00	0.081546
663.00	0.078299
664.00	0.075053
665.00	0.071807
666.00	0.069103
667.00	0.066465
668.00	0.063828
669.00	0.061190
670.00	0.058552
671.00	0.055915
672.00	0.053277
673.00	0.050852
674.00	0.048574
675.00	0.046296
676.00	0.044019
677.00	0.041741
678.00	0.039463
679.00	0.037185
680.00	0.035034
681.00	0.033193
682.00	0.031352
683.00	0.029511
684.00	0.027670
685.00	0.025829
686.00	0.024015
687.00	0.022410
688.00	0.020806
689.00	0.019201
690.00	0.017597
691.00	0.015992
692.00	0.014440
693.00	0.013312
694.00	0.012184
695.00	0.011055
696.00	0.0099271
697.00	0.0087989
698.00	0.0080636
699.00	0.0075132
700.00	0.0069628
701.00	0.0064123
702.00	0.0058619
703.00	0.0053115
704.00	0.0047890
705.00	0.0043260
706.00	0.0038630
707.00	0.0034000
708.00	0.0029370
709.00	0.0024740
710.00	0.0022270
711.00	0.0020066
712.00	0.0017862
713.00	0.0015658
714.00	0.0013454
715.00	0.0011250
716.00	0.0011250
717.00	0.0011250
718.00	0.0011250
719.00	0.0011250
720.00	0.0011250
721.00	
722.00	
723.00	
724.00	
725.00	
726.00	
727.00	
728.00	
729.00	
730.00	
731.00	
732.00	
733.00	
734.00	
735.00	
736.00	
737.00	
738.00	
739.00	
740.00	
741.00	
742.00	
743.00	
744.00	
745.00	
746.00	
747.00	
748.00	
749.00	
750.00	
751.00	
752.00	
753.00	
754.00	
755.00	
756.00	
757.00	
758.00	
759.00	
760.00	
761.00	
762.00	
763.00	
764.00	
765.00	
766.00	
767.00	
768.00	
769.00	
770.00	
771.00	
772.00	
773.00	
774.00	
775.00	
776.00	
777.00	
778.00	
779.00	
780.00	
781.00	
782.00	
783.00	
784.00	
785.00	
786.00	
787.00	
788.00	
789.00	
790.00	
791.00	
792.00	
793.00	
794.00	
795.00	
796.00	
797.00	
798.00	
799.00	
800.00	
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
851.00	
852.00	
853.00	
854.00	
855.00	
856.00	
857.00	
858.00	
859.00	
860.00	
861.00	
862.00	
863.00	
864.00	
865.00	
866.00	
867.00	
868.00	
869.00	
870.00	
871.00	
872.00	
873.00	
874.00	
875.00	
876.00	
877.00	
878.00	
879.00	
880.00	
881.00	
882.00	
883.00	
884.00	
885.00	
886.00	
887.00	
888.00	
889.00	
890.00	
891.00	
892.00	
893.00	
894.00	
895.00	
896.00	
897.00	
898.00	
899.00	
900.00	
901.00	
902.00	
903.00	
904.00	
905.00	
906.00	
907.00	
908.00	
909.00	
910.00	
911.00	
912.00	
913.00	
914.00	
915.00	
916.00	
917.00	
918.00	
919.00	
920.00	
921.00	
922.00	
923.00	
924.00	
925.00	
926.00	
927.00	
928.00	
929.00	
930.00	
931.00	
932.00	
933.00	
934.00	
935.00	
936.00	
937.00	
938.00	
939.00	
940.00	
941.00	
942.00	
943.00	
944.00	
945.00	
946.00	
947.00	
948.00	
949.00	
950.00	
951.00	
952.00	
953.00	
954.00	
955.00	
956.00	
957.00	
958.00	
959.00	
960.00	
961.00	
962.00	
963.00	
964.00	
965.00	
966.00	
967.00	
968.00	
969.00	
970.00	
971.00	
972.00	
973.00	
974.00	
975.00	
976.00	
977.00	
978.00	
979.00	
980.00	
981.00	
982.00	
983.00	
984.00	
985.00	
986.00	
987.00	
988.00	
989.00	
990.00	
991.00	
992.00	
993.00	
994.00	
995.00	
996.00	
997.00	
998.00	
999.00	
1000.0	
1001.0	
1002.0	
1003.0	
1004.0	
1005.0	
1006.0	
1007.0	
1008.0	
1009.0	
1010.0	
1011.0	
1012.0	
1013.0	
1014.0	
1015.0	
1016.0	
1017.0	
1018.0	
1019.0	
1020.0	
1021.0	
1022.0	
1023.0	
1024.0	
1025.0	
1026.0	
1027.0	
1028.0	
1029.0	
1030.0	
1031.0	
1032.0	
1033.0	
1034.0	
1035.0	
1036.0	
1037.0	
1038.0	
1039.0	
1040.0	
1041.0	
1042.0	
1043.0	
1044.0	
1045.0	
1046.0	
1047.0	
1048.0	
1049.0	
1050.0	
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
