Wavelength (nm)	213, PCPB 1993_58_116, 2b
400.00	
401.00	
402.00	
403.00	
404.00	
405.00	
406.00	
407.00	
408.00	
409.00	
410.00	
411.00	
412.00	
413.00	
414.00	
415.00	
416.00	
417.00	
418.00	
419.00	
420.00	
421.00	
422.00	
423.00	
424.00	
425.00	
426.00	
427.00	
428.00	
429.00	
430.00	
431.00	
432.00	
433.00	
434.00	
435.00	
436.00	
437.00	
438.00	
439.00	
440.00	
441.00	
442.00	
443.00	
444.00	
445.00	
446.00	
447.00	
448.00	
449.00	
450.00	
451.00	
452.00	
453.00	
454.00	
455.00	
456.00	
457.00	
458.00	
459.00	
460.00	
461.00	
462.00	
463.00	
464.00	
465.00	
466.00	
467.00	
468.00	
469.00	
470.00	
471.00	
472.00	
473.00	
474.00	
475.00	
476.00	
477.00	
478.00	
479.00	
480.00	
481.00	
482.00	
483.00	
484.00	
485.00	
486.00	
487.00	
488.00	
489.00	
490.00	
491.00	
492.00	
493.00	
494.00	
495.00	
496.00	
497.00	
498.00	
499.00	
500.00	
501.00	
502.00	
503.00	
504.00	
505.00	
506.00	
507.00	
508.00	
509.00	
510.00	
511.00	
512.00	
513.00	
514.00	
515.00	
516.00	
517.00	
518.00	
519.00	
520.00	
521.00	
522.00	
523.00	
524.00	
525.00	
526.00	
527.00	
528.00	
529.00	
530.00	0.0034618
531.00	0.0035831
532.00	0.0037043
533.00	0.0038256
534.00	0.0039469
535.00	0.0040682
536.00	0.0041894
537.00	0.0043107
538.00	0.0044320
539.00	0.0045532
540.00	0.0046723
541.00	0.0047914
542.00	0.0049105
543.00	0.0050297
544.00	0.0051488
545.00	0.0052679
546.00	0.0059777
547.00	0.0072548
548.00	0.0085320
549.00	0.0098091
550.00	0.011086
551.00	0.012363
552.00	0.014973
553.00	0.017610
554.00	0.020247
555.00	0.022883
556.00	0.025520
557.00	0.028157
558.00	0.031897
559.00	0.036046
560.00	0.040194
561.00	0.044343
562.00	0.048972
563.00	0.055652
564.00	0.062333
565.00	0.069013
566.00	0.075693
567.00	0.082662
568.00	0.092949
569.00	0.10324
570.00	0.11352
571.00	0.12381
572.00	0.13988
573.00	0.15618
574.00	0.17249
575.00	0.18880
576.00	0.20981
577.00	0.23087
578.00	0.25193
579.00	0.27564
580.00	0.29979
581.00	0.32393
582.00	0.35273
583.00	0.38316
584.00	0.41358
585.00	0.44401
586.00	0.47515
587.00	0.50637
588.00	0.53758
589.00	0.56839
590.00	0.59907
591.00	0.62976
592.00	0.66044
593.00	0.69054
594.00	0.71536
595.00	0.74019
596.00	0.76501
597.00	0.78983
598.00	0.81367
599.00	0.83653
600.00	0.85940
601.00	0.87993
602.00	0.89955
603.00	0.91995
604.00	0.94114
605.00	0.95796
606.00	0.97477
607.00	0.98345
608.00	0.98955
609.00	0.99543
610.00	0.99771
611.00	1.0000
612.00	0.99731
613.00	0.99462
614.00	0.98913
615.00	0.97888
616.00	0.96862
617.00	0.95577
618.00	0.94281
619.00	0.93277
620.00	0.92405
