Wavelength (nm)	213, PCPB 1993_58_116, 2b
621.00	0.91533
622.00	0.90927
623.00	0.90323
624.00	0.89719
625.00	0.89641
626.00	0.89641
627.00	0.89641
628.00	0.89641
629.00	0.89787
630.00	0.90026
631.00	0.90266
632.00	0.90505
633.00	0.90745
634.00	0.90984
635.00	0.91203
636.00	0.91349
637.00	0.91496
638.00	0.91642
639.00	0.91505
640.00	0.91368
641.00	0.91231
642.00	0.91094
643.00	0.90735
644.00	0.90280
645.00	0.89825
646.00	0.89370
647.00	0.88823
648.00	0.88061
649.00	0.87298
650.00	0.86536
651.00	0.85533
652.00	0.84450
653.00	0.83366
654.00	0.82142
655.00	0.80770
656.00	0.79399
657.00	0.78027
658.00	0.76572
659.00	0.74974
660.00	0.73375
661.00	0.71777
662.00	0.70221
663.00	0.68701
664.00	0.67180
665.00	0.65660
666.00	0.64140
667.00	0.62725
668.00	0.61449
669.00	0.60174
670.00	0.58898
671.00	0.57623
672.00	0.56350
673.00	0.55095
674.00	0.53839
675.00	0.52583
676.00	0.51327
677.00	0.50071
678.00	0.48817
679.00	0.47565
680.00	0.46312
681.00	0.45059
682.00	0.43806
683.00	0.42554
684.00	0.41389
685.00	0.40487
686.00	0.39586
687.00	0.38685
688.00	0.37784
689.00	0.36883
690.00	0.35981
691.00	0.35132
692.00	0.34304
693.00	0.33475
694.00	0.32646
695.00	0.31818
696.00	0.31018
697.00	0.30348
698.00	0.29679
699.00	0.29009
700.00	0.28340
701.00	0.27671
702.00	0.27001
703.00	0.26332
704.00	0.25663
705.00	0.24993
706.00	0.24323
707.00	0.23653
708.00	0.22983
709.00	0.22313
710.00	0.21643
711.00	0.20973
712.00	0.20383
713.00	0.19824
714.00	0.19266
715.00	0.18708
716.00	0.18150
717.00	0.17591
718.00	0.17033
719.00	0.16475
720.00	0.15917
721.00	0.15359
722.00	0.14801
723.00	0.14243
724.00	0.13685
725.00	0.13127
726.00	0.12646
727.00	0.12298
728.00	0.11950
729.00	0.11602
730.00	0.11254
731.00	0.10905
732.00	0.10557
733.00	0.10212
734.00	0.098728
735.00	0.095340
736.00	0.091952
737.00	0.088564
738.00	0.085176
739.00	0.081789
740.00	0.078657
741.00	0.076068
742.00	0.073479
743.00	0.070890
744.00	0.068301
745.00	0.065712
746.00	0.063123
747.00	0.060732
748.00	0.058541
749.00	0.056349
750.00	0.054158
751.00	0.051966
752.00	0.049775
753.00	0.047583
754.00	0.045392
755.00	0.044213
756.00	0.043056
757.00	0.041898
758.00	0.040740
759.00	0.039583
760.00	0.038425
761.00	0.037354
762.00	0.036295
763.00	0.035236
764.00	0.034177
765.00	0.033118
766.00	0.032060
767.00	0.031102
768.00	0.030524
769.00	0.029946
770.00	0.029368
771.00	0.028790
772.00	0.028212
773.00	0.027638
774.00	0.027097
775.00	0.026556
776.00	0.026015
777.00	0.025474
778.00	0.024933
779.00	0.024393
780.00	0.023810
781.00	0.023195
782.00	0.022580
783.00	0.021966
784.00	0.021351
785.00	0.020737
786.00	0.020122
787.00	0.019507
788.00	0.019109
789.00	0.018732
790.00	0.018356
791.00	0.017979
792.00	0.017602
793.00	0.017225
794.00	0.016935
795.00	0.016689
796.00	0.016443
797.00	0.016197
798.00	0.015951
799.00	0.015705
800.00	0.015459
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
