Wavelength (nm)	"72, Liebigs Ann 1974_1450, 3e Fe"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	
301.00	
302.00	
303.00	
304.00	
305.00	
306.00	
307.00	
308.00	
309.00	
310.00	
311.00	
312.00	
313.00	
314.00	
315.00	
316.00	
317.00	
318.00	
319.00	
320.00	
321.00	
322.00	
323.00	
324.00	
325.00	
326.00	
327.00	
328.00	
329.00	
330.00	0.61089
331.00	0.62003
332.00	0.62917
333.00	0.63832
334.00	0.64746
335.00	0.65639
336.00	0.66517
337.00	0.67395
338.00	0.68272
339.00	0.69150
340.00	0.70028
341.00	0.70915
342.00	0.71801
343.00	0.72688
344.00	0.73575
345.00	0.74461
346.00	0.75348
347.00	0.76232
348.00	0.77114
349.00	0.77995
350.00	0.78877
351.00	0.79758
352.00	0.80640
353.00	0.81521
354.00	0.82403
355.00	0.83351
356.00	0.84302
357.00	0.85254
358.00	0.86205
359.00	0.87156
360.00	0.88108
361.00	0.89047
362.00	0.89849
363.00	0.90652
364.00	0.91454
365.00	0.92256
366.00	0.93059
367.00	0.93861
368.00	0.94594
369.00	0.95267
370.00	0.95940
371.00	0.96613
372.00	0.97287
373.00	0.97960
374.00	0.98388
375.00	0.98690
376.00	0.98991
377.00	0.99293
378.00	0.99577
379.00	0.99661
380.00	0.99746
381.00	0.99831
382.00	0.99915
383.00	1.0000
384.00	0.99940
385.00	0.99879
386.00	0.99819
387.00	0.99759
388.00	0.99495
389.00	0.99213
390.00	0.98931
391.00	0.98649
392.00	0.98006
393.00	0.97363
394.00	0.96719
395.00	0.96076
396.00	0.95389
397.00	0.94642
398.00	0.93895
399.00	0.93147
400.00	0.92400
401.00	0.91653
