Wavelength (nm)	"72, Liebigs Ann 1974_1450, 3e Fe"
402.00	0.90905
403.00	0.90158
404.00	0.89411
405.00	0.88597
406.00	0.87777
407.00	0.86958
408.00	0.86138
409.00	0.85319
410.00	0.84499
411.00	0.83679
412.00	0.82860
413.00	0.82040
414.00	0.81221
415.00	0.80401
416.00	0.79562
417.00	0.78718
418.00	0.77873
419.00	0.77029
420.00	0.76185
421.00	0.75341
422.00	0.74497
423.00	0.73653
424.00	0.72809
425.00	0.71965
426.00	0.71115
427.00	0.70253
428.00	0.69391
429.00	0.68529
430.00	0.67668
431.00	0.66806
432.00	0.65944
433.00	0.65083
434.00	0.64221
435.00	0.63359
436.00	0.62497
437.00	0.61601
438.00	0.60675
439.00	0.59749
440.00	0.58823
441.00	0.57897
442.00	0.56971
443.00	0.56045
444.00	0.55119
445.00	0.54193
446.00	0.53267
447.00	0.52355
448.00	0.51465
449.00	0.50575
450.00	0.49685
451.00	0.48795
452.00	0.47905
453.00	0.47014
454.00	0.46124
455.00	0.45261
456.00	0.44484
457.00	0.43708
458.00	0.42932
459.00	0.42156
460.00	0.41380
461.00	0.40604
462.00	0.39828
463.00	0.39052
464.00	0.38276
465.00	0.37534
466.00	0.36804
467.00	0.36074
468.00	0.35345
469.00	0.34615
470.00	0.33885
471.00	0.33155
472.00	0.32517
473.00	0.31954
474.00	0.31391
475.00	0.30828
476.00	0.30265
477.00	0.29701
478.00	0.29138
479.00	0.28577
480.00	0.28068
481.00	0.27558
482.00	0.27049
483.00	0.26540
484.00	0.26031
485.00	0.25522
486.00	0.25040
487.00	0.24705
488.00	0.24370
489.00	0.24035
490.00	0.23700
491.00	0.23365
492.00	0.23030
493.00	0.22721
494.00	0.22474
495.00	0.22228
496.00	0.21982
497.00	0.21736
498.00	0.21489
499.00	0.21243
500.00	0.20997
501.00	0.20785
502.00	0.20616
503.00	0.20447
504.00	0.20278
505.00	0.20108
506.00	0.19939
507.00	0.19770
508.00	0.19601
509.00	0.19452
510.00	0.19355
511.00	0.19258
512.00	0.19162
513.00	0.19065
514.00	0.18968
515.00	0.18871
516.00	0.18775
517.00	0.18678
518.00	0.18581
519.00	0.18484
520.00	0.18403
521.00	0.18325
522.00	0.18248
523.00	0.18170
524.00	0.18092
525.00	0.18015
526.00	0.17937
527.00	0.17859
528.00	0.17782
529.00	0.17720
530.00	0.17691
531.00	0.17662
532.00	0.17632
533.00	0.17603
534.00	0.17574
535.00	0.17545
536.00	0.17516
537.00	0.17487
538.00	0.17458
539.00	0.17453
540.00	0.17453
541.00	0.17453
542.00	0.17453
543.00	0.17453
544.00	0.17453
545.00	0.17453
546.00	0.17453
547.00	0.17453
548.00	0.17453
549.00	0.17453
550.00	0.17453
551.00	0.17462
552.00	0.17483
553.00	0.17505
554.00	0.17527
555.00	0.17548
556.00	0.17570
557.00	0.17592
558.00	0.17613
559.00	0.17635
560.00	0.17649
561.00	0.17661
562.00	0.17674
563.00	0.17687
564.00	0.17700
565.00	0.17712
566.00	0.17725
567.00	0.17761
568.00	0.17807
569.00	0.17852
570.00	0.17897
571.00	0.17943
572.00	0.17988
573.00	0.18033
574.00	0.18079
575.00	0.18124
576.00	0.18169
577.00	0.18216
578.00	0.18263
579.00	0.18310
580.00	0.18356
581.00	0.18403
582.00	0.18450
583.00	0.18497
584.00	0.18544
585.00	0.18591
586.00	0.18638
587.00	0.18685
588.00	0.18732
589.00	0.18819
590.00	0.18916
591.00	0.19013
592.00	0.19110
593.00	0.19207
594.00	0.19304
595.00	0.19402
596.00	0.19499
597.00	0.19596
598.00	0.19687
599.00	0.19765
600.00	0.19843
601.00	0.19921
602.00	0.19998
603.00	0.20076
604.00	0.20154
605.00	0.20232
606.00	0.20310
607.00	0.20388
608.00	0.20466
609.00	0.20544
610.00	0.20621
611.00	0.20699
612.00	0.20777
613.00	0.20855
614.00	0.20930
615.00	0.21005
616.00	0.21080
617.00	0.21155
618.00	0.21230
619.00	0.21305
620.00	0.21380
621.00	0.21455
622.00	0.21530
623.00	0.21605
624.00	0.21686
625.00	0.21767
626.00	0.21847
627.00	0.21928
628.00	0.22008
629.00	0.22089
630.00	0.22169
631.00	0.22250
632.00	0.22330
633.00	0.22401
634.00	0.22471
635.00	0.22541
636.00	0.22612
637.00	0.22682
638.00	0.22752
639.00	0.22823
640.00	0.22893
641.00	0.22963
642.00	0.23033
643.00	0.23104
644.00	0.23166
645.00	0.23195
646.00	0.23225
647.00	0.23254
648.00	0.23283
649.00	0.23313
650.00	0.23342
651.00	0.23372
652.00	0.23401
653.00	0.23427
654.00	0.23385
655.00	0.23344
656.00	0.23303
657.00	0.23261
658.00	0.23220
659.00	0.23178
660.00	0.23085
661.00	0.22950
662.00	0.22815
663.00	0.22681
664.00	0.22546
665.00	0.22412
666.00	0.22265
667.00	0.22089
668.00	0.21913
669.00	0.21737
670.00	0.21561
671.00	0.21385
672.00	0.21209
673.00	0.21034
674.00	0.20858
675.00	0.20694
676.00	0.20539
677.00	0.20384
678.00	0.20229
679.00	0.20074
680.00	0.19919
681.00	0.19765
682.00	0.19610
683.00	0.19455
684.00	0.19300
685.00	0.19145
686.00	0.18958
687.00	0.18756
688.00	0.18554
689.00	0.18352
690.00	0.18149
691.00	0.17947
692.00	0.17745
693.00	0.17542
694.00	0.17340
695.00	0.17189
696.00	0.17040
697.00	0.16892
698.00	0.16743
699.00	0.16594
700.00	0.16446
701.00	0.16297
702.00	0.16148
703.00	0.16000
704.00	0.15856
705.00	0.15744
706.00	0.15631
707.00	0.15519
708.00	0.15406
709.00	0.15293
710.00	0.15181
711.00	0.15068
712.00	0.14956
713.00	0.14843
714.00	0.14731
715.00	0.14632
716.00	0.14580
717.00	0.14528
718.00	0.14475
719.00	0.14423
720.00	0.14370
721.00	0.14318
722.00	0.14266
723.00	0.14213
724.00	0.14161
725.00	0.14109
726.00	0.14056
727.00	0.14012
728.00	0.13976
729.00	0.13940
730.00	0.13904
731.00	0.13868
732.00	0.13832
733.00	0.13796
734.00	0.13760
735.00	0.13724
736.00	0.13688
737.00	0.13652
738.00	0.13664
739.00	0.13681
740.00	0.13699
741.00	0.13716
742.00	0.13734
743.00	0.13752
744.00	0.13769
745.00	0.13787
746.00	0.13804
747.00	0.13822
748.00	0.13839
749.00	0.13857
750.00	0.13875
751.00	0.13908
752.00	0.13944
753.00	0.13981
754.00	0.14018
755.00	0.14055
756.00	0.14091
757.00	0.14128
758.00	0.14165
759.00	0.14201
760.00	0.14238
761.00	0.14275
762.00	0.14312
763.00	0.14353
764.00	0.14407
765.00	0.14460
766.00	0.14514
767.00	0.14568
768.00	0.14621
769.00	0.14675
770.00	0.14728
771.00	0.14782
772.00	0.14836
773.00	0.14889
774.00	0.14943
775.00	0.15016
776.00	0.15093
777.00	0.15171
778.00	0.15248
779.00	0.15325
780.00	0.15402
781.00	0.15480
782.00	0.15557
783.00	0.15634
784.00	0.15712
785.00	0.15789
786.00	0.15866
787.00	0.15943
788.00	0.16021
789.00	0.16102
790.00	0.16183
791.00	0.16264
792.00	0.16346
793.00	0.16427
794.00	0.16508
795.00	0.16590
796.00	0.16671
797.00	0.16752
798.00	0.16834
799.00	0.16915
800.00	0.16996
801.00	0.17077
802.00	0.17157
803.00	0.17238
804.00	0.17318
805.00	0.17398
806.00	0.17479
807.00	0.17559
808.00	0.17640
809.00	0.17720
810.00	0.17800
811.00	0.17881
812.00	0.17961
813.00	0.18042
814.00	0.18124
815.00	0.18212
816.00	0.18299
817.00	0.18387
818.00	0.18475
819.00	0.18562
820.00	0.18650
821.00	0.18737
822.00	0.18825
823.00	0.18913
824.00	0.19000
825.00	0.19088
826.00	0.19175
827.00	0.19245
828.00	0.19315
829.00	0.19386
830.00	0.19456
831.00	0.19526
832.00	0.19597
833.00	0.19667
834.00	0.19738
835.00	0.19808
836.00	0.19878
837.00	0.19949
838.00	0.20017
839.00	0.20055
840.00	0.20092
841.00	0.20130
842.00	0.20167
843.00	0.20205
844.00	0.20242
845.00	0.20280
846.00	0.20317
847.00	0.20338
848.00	0.20355
849.00	0.20373
850.00	0.20390
851.00	0.20408
852.00	0.20426
853.00	0.20443
854.00	0.20461
855.00	0.20443
856.00	0.20426
857.00	0.20408
858.00	0.20391
859.00	0.20373
860.00	0.20356
861.00	0.20338
862.00	0.20318
863.00	0.20263
864.00	0.20208
865.00	0.20153
866.00	0.20099
867.00	0.20044
868.00	0.19989
869.00	0.19934
870.00	0.19880
871.00	0.19825
872.00	0.19764
873.00	0.19684
874.00	0.19605
875.00	0.19525
876.00	0.19446
877.00	0.19367
878.00	0.19287
879.00	0.19208
880.00	0.19128
881.00	0.19049
882.00	0.18970
883.00	0.18896
884.00	0.18826
885.00	0.18755
886.00	0.18685
887.00	0.18614
888.00	0.18544
889.00	0.18473
890.00	0.18403
891.00	0.18333
892.00	0.18269
893.00	0.18207
894.00	0.18144
895.00	0.18082
896.00	0.18019
897.00	0.17956
898.00	0.17894
899.00	0.17831
900.00	0.17769
901.00	0.17706
902.00	0.17644
903.00	0.17581
904.00	0.17519
905.00	0.17456
906.00	0.17394
907.00	0.17331
908.00	0.17269
909.00	0.17206
910.00	0.17144
911.00	0.17100
912.00	0.17100
913.00	0.17100
914.00	0.17100
915.00	0.17100
916.00	0.17100
917.00	0.17100
918.00	0.17100
919.00	0.17100
920.00	0.17100
921.00	0.17100
922.00	0.17100
923.00	0.17100
924.00	0.17100
925.00	0.17100
926.00	0.17100
927.00	0.17100
928.00	0.17100
929.00	0.17100
930.00	0.17100
931.00	0.17100
932.00	0.17100
933.00	0.17121
934.00	0.17148
935.00	0.17175
936.00	0.17203
937.00	0.17230
938.00	0.17257
939.00	0.17284
940.00	0.17311
941.00	0.17333
942.00	0.17342
943.00	0.17350
944.00	0.17359
945.00	0.17368
946.00	0.17377
947.00	0.17386
948.00	0.17395
949.00	0.17403
950.00	0.17393
951.00	0.17371
952.00	0.17348
953.00	0.17326
954.00	0.17303
955.00	0.17281
956.00	0.17258
957.00	0.17192
958.00	0.17115
959.00	0.17037
960.00	0.16959
961.00	0.16881
962.00	0.16804
963.00	0.16726
964.00	0.16648
965.00	0.16520
966.00	0.16385
967.00	0.16250
968.00	0.16115
969.00	0.15980
970.00	0.15845
971.00	0.15709
972.00	0.15568
973.00	0.15427
974.00	0.15287
975.00	0.15146
976.00	0.15005
977.00	0.14864
978.00	0.14723
979.00	0.14583
980.00	0.14439
981.00	0.14289
982.00	0.14140
983.00	0.13990
984.00	0.13840
985.00	0.13691
986.00	0.13541
987.00	0.13392
988.00	0.13242
989.00	0.13062
990.00	0.12863
991.00	0.12665
992.00	0.12466
993.00	0.12267
994.00	0.12069
995.00	0.11870
996.00	0.11672
997.00	0.11473
998.00	0.11262
999.00	0.11027
1000.0	0.10793
1001.0	0.10559
1002.0	0.10325
1003.0	0.10090
1004.0	0.098563
1005.0	0.096220
1006.0	0.093887
1007.0	0.091562
1008.0	0.089237
1009.0	0.086912
1010.0	0.084587
1011.0	0.082262
1012.0	0.079937
1013.0	0.077591
1014.0	0.075243
1015.0	0.072895
1016.0	0.070546
1017.0	0.068198
1018.0	0.066844
1019.0	0.065490
1020.0	0.064137
1021.0	0.062783
1022.0	0.061429
1023.0	0.060075
1024.0	0.058679
1025.0	0.057113
1026.0	0.055548
1027.0	0.053982
1028.0	0.052416
1029.0	0.050851
1030.0	0.049285
1031.0	0.047720
1032.0	0.046154
1033.0	0.044588
1034.0	0.043035
1035.0	0.041501
1036.0	0.039967
1037.0	0.038432
1038.0	0.036898
1039.0	0.035364
1040.0	0.033829
1041.0	0.032295
1042.0	0.030761
1043.0	0.029377
1044.0	0.028219
1045.0	0.027061
1046.0	0.025903
1047.0	0.024745
1048.0	0.023587
1049.0	0.022429
1050.0	0.021271
1051.0	0.020113
1052.0	0.018955
1053.0	0.017797
1054.0	0.016542
1055.0	0.015264
1056.0	0.013985
1057.0	0.012706
1058.0	0.011428
1059.0	0.010149
1060.0	0.0091776
1061.0	0.0082826
1062.0	0.0073876
1063.0	0.0064925
1064.0	0.0055975
1065.0	0.0047025
1066.0	0.0042005
1067.0	0.0037967
1068.0	0.0033929
1069.0	0.0029892
1070.0	0.0025854
1071.0	0.0022220
1072.0	0.0022220
1073.0	0.0022220
1074.0	0.0022220
1075.0	0.0022220
1076.0	0.0022220
1077.0	0.0022220
1078.0	0.0022220
1079.0	0.0022220
1080.0	0.0022220
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
