Wavelength (nm)	"167, OBC 2017_7255, 5"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	
301.00	
302.00	
303.00	
304.00	
305.00	
306.00	
307.00	
308.00	
309.00	
310.00	
311.00	
312.00	
313.00	
314.00	
315.00	
316.00	
317.00	
318.00	
319.00	
320.00	
321.00	
322.00	
323.00	
324.00	
325.00	
326.00	
327.00	
328.00	
329.00	
330.00	
331.00	
332.00	
333.00	
334.00	
335.00	
336.00	
337.00	
338.00	
339.00	
340.00	
341.00	
342.00	
343.00	
344.00	
345.00	
346.00	
347.00	
348.00	
349.00	
350.00	
351.00	
352.00	
353.00	
354.00	
355.00	
356.00	
357.00	
358.00	
359.00	
360.00	
361.00	
362.00	
363.00	
364.00	
365.00	
366.00	
367.00	
368.00	
369.00	
370.00	
371.00	
372.00	
373.00	
374.00	
375.00	
376.00	
377.00	
378.00	
379.00	
380.00	
381.00	
382.00	
383.00	
384.00	
385.00	
386.00	
387.00	
388.00	
389.00	
390.00	
391.00	
392.00	
393.00	
394.00	
395.00	
396.00	
397.00	
398.00	
399.00	
400.00	0.093191
401.00	0.090993
402.00	0.088794
403.00	0.086781
404.00	0.085111
405.00	0.083441
406.00	0.081759
407.00	0.080040
408.00	0.078320
409.00	0.076587
410.00	0.074812
411.00	0.073036
412.00	0.071261
413.00	0.068784
414.00	0.066278
415.00	0.063772
416.00	0.061119
417.00	0.058442
418.00	0.055768
419.00	0.053107
420.00	0.050446
421.00	0.047797
422.00	0.045177
423.00	0.042558
424.00	0.039938
425.00	0.037403
426.00	0.034887
427.00	0.032370
428.00	0.031142
429.00	0.029927
430.00	0.028737
431.00	0.027599
432.00	0.026461
433.00	0.025448
