Wavelength (nm)	"103, JACS 1991_7322, 3"
588.00	0.37306
589.00	0.37459
590.00	0.37613
591.00	0.37766
592.00	0.37919
593.00	0.38072
594.00	0.38191
595.00	0.38244
596.00	0.38298
597.00	0.38352
598.00	0.38406
599.00	0.38459
600.00	0.38513
601.00	0.38443
602.00	0.38372
603.00	0.38302
604.00	0.38232
605.00	0.38161
606.00	0.38091
607.00	0.38020
608.00	0.37937
609.00	0.37814
610.00	0.37690
611.00	0.37567
612.00	0.37443
613.00	0.37320
614.00	0.37196
615.00	0.37073
616.00	0.36949
617.00	0.36789
618.00	0.36628
619.00	0.36466
620.00	0.36305
621.00	0.36143
622.00	0.35982
623.00	0.35820
624.00	0.35658
625.00	0.35441
626.00	0.35220
627.00	0.34999
628.00	0.34777
629.00	0.34556
630.00	0.34335
631.00	0.34113
632.00	0.33892
633.00	0.33638
634.00	0.33381
635.00	0.33124
636.00	0.32867
637.00	0.32610
638.00	0.32354
639.00	0.32039
640.00	0.31567
641.00	0.31096
642.00	0.30625
643.00	0.30153
644.00	0.29682
645.00	0.29193
646.00	0.28629
647.00	0.28065
648.00	0.27501
649.00	0.26937
650.00	0.26374
651.00	0.25790
652.00	0.25174
653.00	0.24557
654.00	0.23941
655.00	0.23325
656.00	0.22709
657.00	0.22053
658.00	0.21300
659.00	0.20547
660.00	0.19794
661.00	0.19041
662.00	0.18289
663.00	0.17477
664.00	0.16646
665.00	0.15816
666.00	0.14985
667.00	0.14154
668.00	0.13324
669.00	0.12686
670.00	0.12139
671.00	0.11592
672.00	0.11044
673.00	0.10497
674.00	0.099500
675.00	0.094405
676.00	0.090113
677.00	0.085821
678.00	0.081529
679.00	0.077237
680.00	0.072945
681.00	0.068653
682.00	0.065622
683.00	0.062644
684.00	0.059666
685.00	0.056687
686.00	0.053709
687.00	0.050731
688.00	0.047753
689.00	0.044775
690.00	0.042949
691.00	0.041197
692.00	0.039446
693.00	0.037694
694.00	0.035942
695.00	0.034190
696.00	0.032438
697.00	0.030687
698.00	0.029053
699.00	0.027622
700.00	0.026190
701.00	0.024758
702.00	0.023326
703.00	0.021895
704.00	0.020463
705.00	0.019031
706.00	0.017600
707.00	0.016811
708.00	0.016194
709.00	0.015577
710.00	0.014959
711.00	0.014342
712.00	0.013725
713.00	0.013108
714.00	0.012490
715.00	0.011873
716.00	0.011256
717.00	0.010756
718.00	0.010279
719.00	0.0098017
720.00	0.0093245
721.00	0.0088473
722.00	0.0083701
723.00	0.0078929
724.00	0.0074157
725.00	0.0069675
726.00	0.0066015
727.00	0.0062356
728.00	0.0058697
729.00	0.0055038
730.00	0.0051379
731.00	0.0047720
732.00	0.0044061
733.00	0.0040509
734.00	0.0036984
735.00	0.0033459
736.00	0.0029934
737.00	0.0026409
738.00	0.0022884
739.00	0.0019359
740.00	0.0015834
741.00	0.0012309
742.00	0.00092074
743.00	0.00092074
744.00	0.00092074
745.00	0.00092074
746.00	0.00092074
747.00	0.00092074
748.00	0.00092074
749.00	0.00092074
750.00	0.00092074
751.00	0.00092074
752.00	0.00092074
753.00	0.00092074
754.00	0.00092074
755.00	0.00092074
756.00	0.00092074
757.00	0.00092074
758.00	0.00092074
759.00	0.00092074
760.00	0.00092074
761.00	0.00092074
762.00	0.00092074
763.00	0.00092074
764.00	0.00092074
765.00	0.00092074
766.00	0.00092074
767.00	0.00092074
768.00	0.00092074
769.00	0.00092074
770.00	0.00092074
771.00	0.00092074
772.00	0.00092074
773.00	0.00092074
774.00	0.00092074
775.00	0.00092074
776.00	0.00092074
777.00	0.00092074
778.00	0.00092074
779.00	0.00092074
780.00	0.00092074
781.00	0.00092074
782.00	0.00092074
783.00	0.00092074
784.00	0.00092074
785.00	0.00092074
786.00	0.00092074
787.00	0.00092074
788.00	0.00092074
789.00	0.00092074
790.00	0.00092074
791.00	0.00092074
792.00	0.00092074
793.00	0.00092074
794.00	0.00092074
795.00	0.00092074
796.00	0.00092074
797.00	0.00092074
798.00	0.00092074
799.00	0.00092074
800.00	0.00092074
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
851.00	
852.00	
853.00	
854.00	
855.00	
856.00	
857.00	
858.00	
859.00	
860.00	
861.00	
862.00	
863.00	
864.00	
865.00	
866.00	
867.00	
868.00	
869.00	
870.00	
871.00	
872.00	
873.00	
874.00	
875.00	
876.00	
877.00	
878.00	
879.00	
880.00	
881.00	
882.00	
883.00	
884.00	
885.00	
886.00	
887.00	
888.00	
889.00	
890.00	
891.00	
892.00	
893.00	
894.00	
895.00	
896.00	
897.00	
898.00	
899.00	
900.00	
901.00	
902.00	
903.00	
904.00	
905.00	
906.00	
907.00	
908.00	
909.00	
910.00	
911.00	
912.00	
913.00	
914.00	
915.00	
916.00	
917.00	
918.00	
919.00	
920.00	
921.00	
922.00	
923.00	
924.00	
925.00	
926.00	
927.00	
928.00	
929.00	
930.00	
931.00	
932.00	
933.00	
934.00	
935.00	
936.00	
937.00	
938.00	
939.00	
940.00	
941.00	
942.00	
943.00	
944.00	
945.00	
946.00	
947.00	
948.00	
949.00	
950.00	
951.00	
952.00	
953.00	
954.00	
955.00	
956.00	
957.00	
958.00	
959.00	
960.00	
961.00	
962.00	
963.00	
964.00	
965.00	
966.00	
967.00	
968.00	
969.00	
970.00	
971.00	
972.00	
973.00	
974.00	
975.00	
976.00	
977.00	
978.00	
979.00	
980.00	
981.00	
982.00	
983.00	
984.00	
985.00	
986.00	
987.00	
988.00	
989.00	
990.00	
991.00	
992.00	
993.00	
994.00	
995.00	
996.00	
997.00	
998.00	
999.00	
1000.0	
1001.0	
1002.0	
1003.0	
1004.0	
1005.0	
1006.0	
1007.0	
1008.0	
1009.0	
1010.0	
1011.0	
1012.0	
1013.0	
1014.0	
1015.0	
1016.0	
1017.0	
1018.0	
1019.0	
1020.0	
1021.0	
1022.0	
1023.0	
1024.0	
1025.0	
1026.0	
1027.0	
1028.0	
1029.0	
1030.0	
1031.0	
1032.0	
1033.0	
1034.0	
1035.0	
1036.0	
1037.0	
1038.0	
1039.0	
1040.0	
1041.0	
1042.0	
1043.0	
1044.0	
1045.0	
1046.0	
1047.0	
1048.0	
1049.0	
1050.0	
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
