Wavelength (nm)	170, Spec Acta A 2022_265_120393, 3
400.00	
401.00	
402.00	
403.00	
404.00	
405.00	
406.00	
407.00	
408.00	
409.00	
410.00	
411.00	
412.00	
413.00	
414.00	
415.00	
416.00	
417.00	
418.00	
419.00	
420.00	
421.00	
422.00	
423.00	
424.00	
425.00	
426.00	
427.00	
428.00	
429.00	
430.00	
431.00	
432.00	
433.00	
434.00	
435.00	
436.00	
437.00	
438.00	
439.00	
440.00	
441.00	
442.00	
443.00	
444.00	
445.00	
446.00	
447.00	
448.00	
449.00	
450.00	
451.00	
452.00	
453.00	
454.00	
455.00	
456.00	
457.00	
458.00	
459.00	
460.00	
461.00	
462.00	
463.00	
464.00	
465.00	
466.00	
467.00	
468.00	
469.00	
470.00	
471.00	
472.00	
473.00	
474.00	
475.00	
476.00	
477.00	
478.00	
479.00	
480.00	
481.00	
482.00	
483.00	
484.00	
485.00	
486.00	
487.00	
488.00	
489.00	
490.00	
491.00	
492.00	
493.00	
494.00	
495.00	
496.00	
497.00	
498.00	
499.00	
500.00	
501.00	
502.00	
503.00	
504.00	
505.00	
506.00	
507.00	
508.00	
509.00	
510.00	
511.00	
512.00	
513.00	
514.00	
515.00	
516.00	
517.00	
518.00	
519.00	
520.00	
521.00	
522.00	
523.00	
524.00	
525.00	
526.00	
527.00	
528.00	
529.00	
530.00	0.0025450
531.00	0.0030669
532.00	0.0056957
533.00	0.0092514
534.00	0.013989
535.00	0.018909
536.00	0.024168
537.00	0.029743
538.00	0.035673
539.00	0.043975
540.00	0.055760
541.00	0.071125
542.00	0.088339
543.00	0.12875
544.00	0.17519
545.00	0.22193
546.00	0.27659
547.00	0.34908
548.00	0.44208
549.00	0.53374
550.00	0.62421
551.00	0.71801
552.00	0.80769
553.00	0.87964
554.00	0.93998
555.00	0.98782
556.00	1.0000
557.00	0.99275
558.00	0.95611
559.00	0.91403
560.00	0.86985
561.00	0.82312
562.00	0.77100
563.00	0.71887
564.00	0.67370
565.00	0.63097
566.00	0.58919
567.00	0.54841
568.00	0.51506
569.00	0.48451
570.00	0.46048
571.00	0.43725
572.00	0.41619
573.00	0.39521
574.00	0.37481
575.00	0.35441
576.00	0.33567
577.00	0.31717
578.00	0.29727
579.00	0.27810
580.00	0.26330
581.00	0.24905
582.00	0.23675
583.00	0.22435
584.00	0.21124
585.00	0.20137
586.00	0.19450
587.00	0.18745
588.00	0.17984
589.00	0.17222
590.00	0.16642
591.00	0.16137
592.00	0.15632
593.00	0.15212
594.00	0.14827
595.00	0.14443
596.00	0.14058
597.00	0.13719
598.00	0.13383
599.00	0.13047
600.00	0.12816
601.00	0.12610
602.00	0.12405
603.00	0.12111
604.00	0.11755
605.00	0.11380
606.00	0.11004
607.00	0.10566
608.00	0.10059
609.00	0.094747
610.00	0.088196
611.00	0.079880
612.00	0.073609
613.00	0.068880
614.00	0.064517
615.00	0.061451
616.00	0.058385
617.00	0.055602
618.00	0.053882
619.00	0.052162
620.00	0.048779
621.00	0.045232
622.00	0.040756
623.00	0.035990
624.00	0.033184
625.00	0.030614
626.00	0.029044
627.00	0.027652
628.00	0.026432
629.00	0.025067
630.00	0.023435
631.00	0.022041
632.00	0.021130
633.00	0.020135
634.00	0.018702
635.00	0.017269
636.00	0.015154
637.00	0.012929
638.00	0.011573
639.00	0.011123
640.00	0.010673
641.00	0.010614
642.00	0.010863
643.00	0.011112
644.00	0.010239
645.00	0.0092549
646.00	0.0082711
647.00	0.0078382
648.00	0.0078382
649.00	0.0078382
650.00	0.0078382
651.00	
652.00	
653.00	
654.00	
655.00	
656.00	
657.00	
658.00	
659.00	
660.00	
661.00	
662.00	
663.00	
664.00	
665.00	
666.00	
667.00	
668.00	
669.00	
670.00	
671.00	
672.00	
673.00	
674.00	
675.00	
676.00	
677.00	
678.00	
679.00	
680.00	
681.00	
682.00	
683.00	
684.00	
685.00	
686.00	
687.00	
688.00	
689.00	
690.00	
691.00	
692.00	
693.00	
694.00	
695.00	
696.00	
697.00	
698.00	
699.00	
700.00	
701.00	
702.00	
703.00	
704.00	
705.00	
706.00	
707.00	
708.00	
709.00	
710.00	
711.00	
712.00	
713.00	
714.00	
715.00	
716.00	
717.00	
718.00	
719.00	
720.00	
721.00	
722.00	
723.00	
724.00	
725.00	
726.00	
727.00	
728.00	
729.00	
730.00	
731.00	
732.00	
733.00	
734.00	
735.00	
736.00	
737.00	
738.00	
739.00	
740.00	
741.00	
742.00	
743.00	
744.00	
745.00	
746.00	
747.00	
748.00	
749.00	
750.00	
751.00	
752.00	
753.00	
754.00	
755.00	
756.00	
757.00	
758.00	
759.00	
760.00	
761.00	
762.00	
763.00	
764.00	
765.00	
766.00	
767.00	
768.00	
769.00	
770.00	
771.00	
772.00	
773.00	
774.00	
775.00	
776.00	
777.00	
778.00	
779.00	
780.00	
781.00	
782.00	
783.00	
784.00	
785.00	
786.00	
787.00	
788.00	
789.00	
790.00	
791.00	
792.00	
793.00	
794.00	
795.00	
796.00	
797.00	
798.00	
799.00	
800.00	
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
