Wavelength (nm)	166, OBC 2017_7255, 4
630.00	0.12901
631.00	0.12348
632.00	0.11796
633.00	0.11256
634.00	0.10719
635.00	0.10182
636.00	0.097236
637.00	0.093496
638.00	0.089755
639.00	0.086014
640.00	0.082274
641.00	0.078475
642.00	0.074661
643.00	0.070847
644.00	0.067033
645.00	0.063423
646.00	0.060680
647.00	0.057937
648.00	0.055194
649.00	0.052451
650.00	0.049923
651.00	0.047432
652.00	0.044942
653.00	0.042451
654.00	0.039982
655.00	0.037803
656.00	0.035624
657.00	0.033444
658.00	0.031265
659.00	0.029434
660.00	0.027995
661.00	0.026556
662.00	0.025117
663.00	0.023677
664.00	0.022238
665.00	0.020948
666.00	0.019693
667.00	0.018437
668.00	0.017182
669.00	0.015927
670.00	0.014839
671.00	0.014106
672.00	0.013373
673.00	0.012640
674.00	0.011908
675.00	0.011236
676.00	0.010828
677.00	0.010419
678.00	0.010010
679.00	0.0096014
680.00	0.0091672
681.00	0.0087154
682.00	0.0082636
683.00	0.0078117
684.00	0.0072894
685.00	0.0066736
686.00	0.0060578
687.00	0.0054420
688.00	0.0049235
689.00	0.0045778
690.00	0.0042321
691.00	0.0038864
692.00	0.0035407
693.00	0.0031950
694.00	0.0028494
695.00	0.0025417
696.00	0.0025417
697.00	0.0025417
698.00	0.0025417
699.00	0.0025417
700.00	0.0025417
701.00	
702.00	
703.00	
704.00	
705.00	
706.00	
707.00	
708.00	
709.00	
710.00	
711.00	
712.00	
713.00	
714.00	
715.00	
716.00	
717.00	
718.00	
719.00	
720.00	
721.00	
722.00	
723.00	
724.00	
725.00	
726.00	
727.00	
728.00	
729.00	
730.00	
731.00	
732.00	
733.00	
734.00	
735.00	
736.00	
737.00	
738.00	
739.00	
740.00	
741.00	
742.00	
743.00	
744.00	
745.00	
746.00	
747.00	
748.00	
749.00	
750.00	
751.00	
752.00	
753.00	
754.00	
755.00	
756.00	
757.00	
758.00	
759.00	
760.00	
761.00	
762.00	
763.00	
764.00	
765.00	
766.00	
767.00	
768.00	
769.00	
770.00	
771.00	
772.00	
773.00	
774.00	
775.00	
776.00	
777.00	
778.00	
779.00	
780.00	
781.00	
782.00	
783.00	
784.00	
785.00	
786.00	
787.00	
788.00	
789.00	
790.00	
791.00	
792.00	
793.00	
794.00	
795.00	
796.00	
797.00	
798.00	
799.00	
800.00	
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
