Wavelength (nm)	"134, NJC 2008_1162, BD"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	
301.00	
302.00	
303.00	
304.00	
305.00	
306.00	
307.00	
308.00	
309.00	
310.00	
311.00	
312.00	
313.00	
314.00	
315.00	
316.00	
317.00	
318.00	
319.00	
320.00	
321.00	
322.00	
323.00	
324.00	
325.00	
326.00	
327.00	
328.00	
329.00	
330.00	
331.00	
332.00	
333.00	
334.00	
335.00	
336.00	
337.00	
338.00	
339.00	
340.00	
341.00	
342.00	
343.00	
344.00	
345.00	
346.00	
347.00	
348.00	
349.00	
350.00	
351.00	
352.00	
353.00	
354.00	
355.00	
356.00	
357.00	
358.00	
359.00	
360.00	
361.00	
362.00	
363.00	
364.00	
365.00	
366.00	
367.00	
368.00	
369.00	
370.00	
371.00	
372.00	
373.00	
374.00	
375.00	
376.00	
377.00	
378.00	
379.00	
380.00	0.20087
381.00	0.20139
382.00	0.20191
383.00	0.20242
384.00	0.20228
385.00	0.20206
386.00	0.20184
387.00	0.20162
388.00	0.20136
389.00	0.20010
390.00	0.19884
391.00	0.19758
392.00	0.19632
393.00	0.19495
394.00	0.19340
395.00	0.19185
396.00	0.19030
397.00	0.18905
398.00	0.18806
399.00	0.18707
400.00	0.18607
401.00	0.18508
402.00	0.18412
403.00	0.18318
404.00	0.18224
405.00	0.18129
406.00	0.18179
407.00	0.18289
408.00	0.18398
409.00	0.18569
410.00	0.18759
411.00	0.18949
412.00	0.19139
413.00	0.19389
414.00	0.19815
415.00	0.20241
416.00	0.20841
417.00	0.21628
418.00	0.22476
419.00	0.23529
420.00	0.24582
421.00	0.25909
422.00	0.27399
423.00	0.28500
424.00	0.29449
