Wavelength (nm)	"151, JCS C 1966_880, F2"
619.00	0.060962
620.00	0.062625
621.00	0.064289
622.00	0.065953
623.00	0.067617
624.00	0.069280
625.00	0.070944
626.00	0.072608
627.00	0.074272
628.00	0.076508
629.00	0.078787
630.00	0.081066
631.00	0.083346
632.00	0.085625
633.00	0.087904
634.00	0.090184
635.00	0.092463
636.00	0.094742
637.00	0.097022
638.00	0.10003
639.00	0.10318
640.00	0.10633
641.00	0.10948
642.00	0.11264
643.00	0.11579
644.00	0.11894
645.00	0.12209
646.00	0.12525
647.00	0.12840
648.00	0.13190
649.00	0.13544
650.00	0.13897
651.00	0.14251
652.00	0.14604
653.00	0.14958
654.00	0.15312
655.00	0.15665
656.00	0.16019
657.00	0.16372
658.00	0.16726
659.00	0.17082
660.00	0.17488
661.00	0.17894
662.00	0.18300
663.00	0.18706
664.00	0.19112
665.00	0.19518
666.00	0.19924
667.00	0.20330
668.00	0.20736
669.00	0.21188
670.00	0.21678
671.00	0.22169
672.00	0.22659
673.00	0.23150
674.00	0.23641
675.00	0.24131
676.00	0.24622
677.00	0.25112
678.00	0.25603
679.00	0.26087
680.00	0.26570
681.00	0.27053
682.00	0.27536
683.00	0.28020
684.00	0.28503
685.00	0.28986
686.00	0.29469
687.00	0.29952
688.00	0.30436
689.00	0.30920
690.00	0.31403
691.00	0.31887
692.00	0.32371
693.00	0.32854
694.00	0.33338
695.00	0.33821
696.00	0.34305
697.00	0.34789
698.00	0.35275
699.00	0.35762
700.00	0.36249
701.00	0.36736
702.00	0.37222
703.00	0.37709
704.00	0.38196
705.00	0.38683
706.00	0.39170
707.00	0.39657
708.00	0.40132
709.00	0.40593
710.00	0.41054
711.00	0.41515
712.00	0.41961
713.00	0.42346
714.00	0.42732
715.00	0.43117
716.00	0.43502
717.00	0.43727
718.00	0.43939
719.00	0.44150
720.00	0.44361
721.00	0.44492
722.00	0.44578
723.00	0.44663
724.00	0.44749
725.00	0.44628
726.00	0.44507
727.00	0.44387
728.00	0.44253
729.00	0.43924
730.00	0.43595
731.00	0.43266
732.00	0.42720
733.00	0.42004
734.00	0.41287
735.00	0.40571
736.00	0.39855
737.00	0.39040
738.00	0.38129
739.00	0.37218
740.00	0.36307
741.00	0.35396
742.00	0.34486
743.00	0.33566
744.00	0.32565
745.00	0.31563
746.00	0.30562
747.00	0.29561
748.00	0.28560
749.00	0.27594
750.00	0.26723
751.00	0.25853
752.00	0.24982
753.00	0.24111
754.00	0.23241
755.00	0.22370
756.00	0.21526
757.00	0.20696
758.00	0.19866
759.00	0.19036
760.00	0.18206
761.00	0.17454
762.00	0.16814
763.00	0.16175
764.00	0.15535
765.00	0.14896
766.00	0.14256
767.00	0.13617
768.00	0.12977
769.00	0.12388
770.00	0.11862
771.00	0.11336
772.00	0.10810
773.00	0.10284
774.00	0.097578
775.00	0.092330
776.00	0.087463
777.00	0.082597
778.00	0.077730
779.00	0.072864
780.00	0.067997
781.00	0.063131
782.00	0.058805
783.00	0.054825
784.00	0.050845
785.00	0.046865
786.00	0.042884
787.00	0.038904
788.00	0.034924
789.00	0.031091
790.00	0.027257
791.00	0.023424
792.00	0.019590
793.00	0.015757
794.00	0.011923
795.00	0.010087
796.00	0.0088136
797.00	0.0075404
798.00	0.0062672
799.00	0.0049939
800.00	0.0037207
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
851.00	
852.00	
853.00	
854.00	
855.00	
856.00	
857.00	
858.00	
859.00	
860.00	
861.00	
862.00	
863.00	
864.00	
865.00	
866.00	
867.00	
868.00	
869.00	
870.00	
871.00	
872.00	
873.00	
874.00	
875.00	
876.00	
877.00	
878.00	
879.00	
880.00	
881.00	
882.00	
883.00	
884.00	
885.00	
886.00	
887.00	
888.00	
889.00	
890.00	
891.00	
892.00	
893.00	
894.00	
895.00	
896.00	
897.00	
898.00	
899.00	
900.00	
901.00	
902.00	
903.00	
904.00	
905.00	
906.00	
907.00	
908.00	
909.00	
910.00	
911.00	
912.00	
913.00	
914.00	
915.00	
916.00	
917.00	
918.00	
919.00	
920.00	
921.00	
922.00	
923.00	
924.00	
925.00	
926.00	
927.00	
928.00	
929.00	
930.00	
931.00	
932.00	
933.00	
934.00	
935.00	
936.00	
937.00	
938.00	
939.00	
940.00	
941.00	
942.00	
943.00	
944.00	
945.00	
946.00	
947.00	
948.00	
949.00	
950.00	
951.00	
952.00	
953.00	
954.00	
955.00	
956.00	
957.00	
958.00	
959.00	
960.00	
961.00	
962.00	
963.00	
964.00	
965.00	
966.00	
967.00	
968.00	
969.00	
970.00	
971.00	
972.00	
973.00	
974.00	
975.00	
976.00	
977.00	
978.00	
979.00	
980.00	
981.00	
982.00	
983.00	
984.00	
985.00	
986.00	
987.00	
988.00	
989.00	
990.00	
991.00	
992.00	
993.00	
994.00	
995.00	
996.00	
997.00	
998.00	
999.00	
1000.0	
1001.0	
1002.0	
1003.0	
1004.0	
1005.0	
1006.0	
1007.0	
1008.0	
1009.0	
1010.0	
1011.0	
1012.0	
1013.0	
1014.0	
1015.0	
1016.0	
1017.0	
1018.0	
1019.0	
1020.0	
1021.0	
1022.0	
1023.0	
1024.0	
1025.0	
1026.0	
1027.0	
1028.0	
1029.0	
1030.0	
1031.0	
1032.0	
1033.0	
1034.0	
1035.0	
1036.0	
1037.0	
1038.0	
1039.0	
1040.0	
1041.0	
1042.0	
1043.0	
1044.0	
1045.0	
1046.0	
1047.0	
1048.0	
1049.0	
1050.0	
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
