Wavelength (nm)	"187, TL 2022_103_153977, 3b"
855.00	0.20985
856.00	0.21254
857.00	0.21523
858.00	0.21825
859.00	0.22151
860.00	0.22477
861.00	0.22696
862.00	0.22256
863.00	0.21816
864.00	0.21517
865.00	0.21231
866.00	0.20944
867.00	0.20774
868.00	0.20715
869.00	0.20698
870.00	0.20943
871.00	0.21188
872.00	0.21433
873.00	0.21303
874.00	0.21026
875.00	0.20616
876.00	0.19675
877.00	0.19047
878.00	0.18851
879.00	0.18655
880.00	0.18458
881.00	0.18322
882.00	0.18195
883.00	0.18068
884.00	0.17938
885.00	0.17546
886.00	0.17154
887.00	0.16678
888.00	0.16041
889.00	0.15612
890.00	0.15778
891.00	0.15945
892.00	0.15639
893.00	0.15167
894.00	0.14783
895.00	0.14474
896.00	0.15201
897.00	0.15604
898.00	0.13543
899.00	0.13517
900.00	0.13491
901.00	0.13018
902.00	0.12163
903.00	0.11817
904.00	0.11470
905.00	0.11150
906.00	0.10852
907.00	0.10554
908.00	0.10207
909.00	0.098405
910.00	0.094815
911.00	0.092354
912.00	0.089894
913.00	0.087433
914.00	0.086548
915.00	0.085764
916.00	0.086014
917.00	0.089060
918.00	0.092107
919.00	0.078150
920.00	0.072056
921.00	0.065963
922.00	0.064200
923.00	0.066945
924.00	0.064644
925.00	0.060281
926.00	0.055526
927.00	0.050540
928.00	0.045494
929.00	0.039954
930.00	0.034414
931.00	0.031816
932.00	0.031262
933.00	0.030729
934.00	0.030467
935.00	0.030206
936.00	0.029781
937.00	0.029109
938.00	0.028438
939.00	0.029777
940.00	0.034401
941.00	0.022084
942.00	0.018400
943.00	0.015570
944.00	0.011147
945.00	0.0067723
946.00	0.014367
947.00	0.021198
948.00	0.022911
949.00	0.019368
950.00	0.0035246
951.00	
952.00	
953.00	
954.00	
955.00	
956.00	
957.00	
958.00	
959.00	
960.00	
961.00	
962.00	
963.00	
964.00	
965.00	
966.00	
967.00	
968.00	
969.00	
970.00	
971.00	
972.00	
973.00	
974.00	
975.00	
976.00	
977.00	
978.00	
979.00	
980.00	
981.00	
982.00	
983.00	
984.00	
985.00	
986.00	
987.00	
988.00	
989.00	
990.00	
991.00	
992.00	
993.00	
994.00	
995.00	
996.00	
997.00	
998.00	
999.00	
1000.0	
1001.0	
1002.0	
1003.0	
1004.0	
1005.0	
1006.0	
1007.0	
1008.0	
1009.0	
1010.0	
1011.0	
1012.0	
1013.0	
1014.0	
1015.0	
1016.0	
1017.0	
1018.0	
1019.0	
1020.0	
1021.0	
1022.0	
1023.0	
1024.0	
1025.0	
1026.0	
1027.0	
1028.0	
1029.0	
1030.0	
1031.0	
1032.0	
1033.0	
1034.0	
1035.0	
1036.0	
1037.0	
1038.0	
1039.0	
1040.0	
1041.0	
1042.0	
1043.0	
1044.0	
1045.0	
1046.0	
1047.0	
1048.0	
1049.0	
1050.0	
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
