Wavelength (nm)	106, Biochemistry 1964_1343, PEB
400.00	
401.00	
402.00	
403.00	
404.00	
405.00	
406.00	
407.00	
408.00	
409.00	
410.00	
411.00	
412.00	
413.00	
414.00	
415.00	
416.00	
417.00	
418.00	
419.00	
420.00	
421.00	
422.00	
423.00	
424.00	
425.00	
426.00	
427.00	
428.00	
429.00	
430.00	
431.00	
432.00	
433.00	
434.00	
435.00	
436.00	
437.00	
438.00	
439.00	
440.00	
441.00	
442.00	
443.00	
444.00	
445.00	
446.00	
447.00	
448.00	
449.00	
450.00	
451.00	
452.00	
453.00	
454.00	
455.00	
456.00	
457.00	
458.00	
459.00	
460.00	
461.00	
462.00	
463.00	
464.00	
465.00	
466.00	
467.00	
468.00	
469.00	
470.00	
471.00	
472.00	
473.00	
474.00	
475.00	
476.00	
477.00	
478.00	
479.00	
480.00	
481.00	
482.00	
483.00	
484.00	
485.00	
486.00	
487.00	
488.00	
489.00	
490.00	
491.00	
492.00	
493.00	
494.00	
495.00	
496.00	
497.00	
498.00	
499.00	
500.00	
501.00	
502.00	
503.00	
504.00	
505.00	
506.00	
507.00	
508.00	
509.00	
510.00	
511.00	
512.00	
513.00	
514.00	
515.00	
516.00	
517.00	
518.00	
519.00	
520.00	
521.00	
522.00	
523.00	
524.00	
525.00	
526.00	
527.00	
528.00	
529.00	
530.00	
531.00	
532.00	
533.00	
534.00	
535.00	
536.00	
537.00	
538.00	
539.00	
540.00	
541.00	
542.00	
543.00	
544.00	
545.00	
546.00	
547.00	
548.00	
549.00	
550.00	
551.00	
552.00	
553.00	
554.00	
555.00	
556.00	
557.00	
558.00	
559.00	
560.00	
561.00	
562.00	
563.00	
564.00	
565.00	
566.00	
567.00	
568.00	
569.00	
570.00	
571.00	
572.00	
573.00	
574.00	
575.00	0.088558
576.00	0.097928
577.00	0.10730
578.00	0.11958
579.00	0.13282
580.00	0.14607
581.00	0.16097
582.00	0.17615
583.00	0.19134
584.00	0.20735
585.00	0.22378
586.00	0.24021
587.00	0.25457
588.00	0.26760
589.00	0.28063
590.00	0.29865
591.00	0.31799
592.00	0.34366
593.00	0.37010
594.00	0.39737
595.00	0.42658
596.00	0.45579
597.00	0.48500
598.00	0.51423
599.00	0.54346
600.00	0.57269
601.00	0.60121
602.00	0.62881
603.00	0.65642
604.00	0.68402
605.00	0.71163
606.00	0.73631
607.00	0.75984
608.00	0.78338
609.00	0.80691
610.00	0.83045
611.00	0.85300
612.00	0.87493
613.00	0.89685
614.00	0.91878
615.00	0.93344
616.00	0.94629
617.00	0.95914
618.00	0.97198
619.00	0.98076
620.00	0.98832
621.00	0.99348
622.00	0.99674
623.00	1.0000
624.00	0.99930
625.00	0.99860
626.00	0.99558
627.00	0.99106
628.00	0.98651
629.00	0.98006
630.00	0.97361
631.00	0.96494
632.00	0.95333
633.00	0.94172
634.00	0.92474
635.00	0.90675
636.00	0.88875
637.00	0.86854
638.00	0.84800
639.00	0.82747
640.00	0.80694
641.00	0.78646
642.00	0.76598
643.00	0.74551
644.00	0.72503
645.00	0.70579
646.00	0.68751
647.00	0.66923
648.00	0.65096
649.00	0.63268
650.00	0.61758
651.00	0.60252
652.00	0.58745
653.00	0.57239
654.00	0.55732
655.00	0.54225
656.00	0.52719
657.00	0.51270
658.00	0.49892
659.00	0.48514
660.00	0.47135
661.00	0.45757
662.00	0.44379
663.00	0.43001
664.00	0.41623
665.00	0.40326
666.00	0.39128
667.00	0.37930
668.00	0.36732
669.00	0.35534
670.00	0.34336
671.00	0.33138
672.00	0.31946
673.00	0.30850
674.00	0.29754
675.00	0.28657
676.00	0.27561
677.00	0.26465
678.00	0.25369
679.00	0.24265
680.00	0.23157
681.00	0.22049
682.00	0.20941
683.00	0.19834
684.00	0.18726
685.00	0.17618
686.00	0.16498
687.00	0.15287
688.00	0.14076
689.00	0.12866
690.00	0.11655
691.00	0.10444
692.00	0.092334
693.00	0.080227
694.00	0.068120
695.00	0.056013
696.00	0.045750
697.00	0.036716
698.00	0.027683
699.00	0.018649
700.00	0.0096154
701.00	
702.00	
703.00	
704.00	
705.00	
706.00	
707.00	
708.00	
709.00	
710.00	
711.00	
712.00	
713.00	
714.00	
715.00	
716.00	
717.00	
718.00	
719.00	
720.00	
721.00	
722.00	
723.00	
724.00	
725.00	
726.00	
727.00	
728.00	
729.00	
730.00	
731.00	
732.00	
733.00	
734.00	
735.00	
736.00	
737.00	
738.00	
739.00	
740.00	
741.00	
742.00	
743.00	
744.00	
745.00	
746.00	
747.00	
748.00	
749.00	
750.00	
751.00	
752.00	
753.00	
754.00	
755.00	
756.00	
757.00	
758.00	
759.00	
760.00	
761.00	
762.00	
763.00	
764.00	
765.00	
766.00	
767.00	
768.00	
769.00	
770.00	
771.00	
772.00	
773.00	
774.00	
775.00	
776.00	
777.00	
778.00	
779.00	
780.00	
781.00	
782.00	
783.00	
784.00	
785.00	
786.00	
787.00	
788.00	
789.00	
790.00	
791.00	
792.00	
793.00	
794.00	
795.00	
796.00	
797.00	
798.00	
799.00	
800.00	
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
