Wavelength (nm)	164, SPIE 1994_2115_240, DOEB
660.00	0.33715
661.00	0.36996
662.00	0.40780
663.00	0.44564
664.00	0.48348
665.00	0.52132
666.00	0.55916
667.00	0.59357
668.00	0.62587
669.00	0.65817
670.00	0.69047
671.00	0.72277
672.00	0.75507
673.00	0.78703
674.00	0.81797
675.00	0.84891
676.00	0.87985
677.00	0.90838
678.00	0.92727
679.00	0.94617
680.00	0.96506
681.00	0.97897
682.00	0.98983
683.00	0.99745
684.00	1.0000
685.00	0.99837
686.00	0.99675
687.00	0.99512
688.00	0.98595
689.00	0.97631
690.00	0.96312
691.00	0.94903
692.00	0.93495
693.00	0.92010
694.00	0.90234
695.00	0.88457
696.00	0.86681
697.00	0.84905
698.00	0.82891
699.00	0.80575
700.00	0.78258
701.00	0.75942
702.00	0.73626
703.00	0.71314
704.00	0.69139
705.00	0.66965
706.00	0.64791
707.00	0.62616
708.00	0.60442
709.00	0.58353
710.00	0.56465
711.00	0.54577
712.00	0.52688
713.00	0.50800
714.00	0.49016
715.00	0.47625
716.00	0.46234
717.00	0.44843
718.00	0.43452
719.00	0.42061
720.00	0.40732
721.00	0.39705
722.00	0.38678
723.00	0.37651
724.00	0.36623
725.00	0.35596
726.00	0.34569
727.00	0.33576
728.00	0.32750
729.00	0.31925
730.00	0.31100
731.00	0.30275
732.00	0.29449
733.00	0.28624
734.00	0.27799
735.00	0.26974
736.00	0.26148
737.00	0.25323
738.00	0.24739
739.00	0.24157
740.00	0.23574
741.00	0.22992
742.00	0.22410
743.00	0.21828
744.00	0.21246
745.00	0.20668
746.00	0.20190
747.00	0.19713
748.00	0.19236
749.00	0.18758
750.00	0.18281
751.00	0.17803
752.00	0.17326
753.00	0.16849
754.00	0.16371
755.00	0.15894
756.00	0.15416
757.00	0.14968
758.00	0.14601
759.00	0.14235
760.00	0.13868
761.00	0.13502
762.00	0.13135
763.00	0.12768
764.00	0.12402
765.00	0.12035
766.00	0.11669
767.00	0.11302
768.00	0.10945
769.00	0.10591
770.00	0.10237
771.00	0.098829
772.00	0.095288
773.00	0.091746
774.00	0.088205
775.00	0.084780
776.00	0.082136
777.00	0.079491
778.00	0.076846
779.00	0.074202
780.00	0.071557
781.00	0.068913
782.00	0.066341
783.00	0.064256
784.00	0.062171
785.00	0.060086
786.00	0.058001
787.00	0.055916
788.00	0.053831
789.00	0.051746
790.00	0.049662
791.00	0.047577
792.00	0.046032
793.00	0.044541
794.00	0.043050
795.00	0.041559
796.00	0.040068
797.00	0.038577
798.00	0.037086
799.00	0.035595
800.00	0.034104
801.00	0.032735
802.00	0.031582
803.00	0.030429
804.00	0.029277
805.00	0.028124
806.00	0.026971
807.00	0.025818
808.00	0.024666
809.00	0.023513
810.00	0.022360
811.00	0.021207
812.00	0.020404
813.00	0.019657
814.00	0.018911
815.00	0.018164
816.00	0.017418
817.00	0.016671
818.00	0.015925
819.00	0.015172
820.00	0.014397
821.00	0.013622
822.00	0.012847
823.00	0.012073
824.00	0.011298
825.00	0.010523
826.00	0.0097484
827.00	0.0089736
828.00	0.0084652
829.00	0.0079679
830.00	0.0074706
831.00	0.0069732
832.00	0.0064759
833.00	0.0059786
834.00	0.0054813
835.00	0.0049840
836.00	0.0044825
837.00	0.0039740
838.00	0.0034655
839.00	0.0029569
840.00	0.0024484
841.00	0.0019398
842.00	0.0014313
843.00	0.0010749
844.00	0.00097765
845.00	0.00088038
846.00	0.00078312
847.00	0.00068585
848.00	0.00058859
849.00	0.00049132
850.00	0.00042752
