Wavelength (nm)	"155, Eur J Inorg Chem 2007_1661, 12"
596.00	0.26771
597.00	0.26669
598.00	0.26567
599.00	0.26465
600.00	0.26363
601.00	0.26164
602.00	0.25960
603.00	0.25757
604.00	0.25553
605.00	0.25349
606.00	0.25146
607.00	0.24942
608.00	0.24738
609.00	0.24535
610.00	0.24331
611.00	0.24180
612.00	0.24084
613.00	0.23988
614.00	0.23892
615.00	0.23796
616.00	0.23700
617.00	0.23604
618.00	0.23509
619.00	0.23413
620.00	0.23317
621.00	0.23221
622.00	0.23125
623.00	0.23088
624.00	0.23088
625.00	0.23088
626.00	0.23088
627.00	0.23088
628.00	0.23088
629.00	0.23088
630.00	0.23088
631.00	0.23088
632.00	0.23088
633.00	0.23088
634.00	0.23088
635.00	0.23088
636.00	0.23088
637.00	0.23088
638.00	0.23098
639.00	0.23132
640.00	0.23166
641.00	0.23200
642.00	0.23234
643.00	0.23268
644.00	0.23302
645.00	0.23336
646.00	0.23370
647.00	0.23403
648.00	0.23437
649.00	0.23471
650.00	0.23505
651.00	0.23539
652.00	0.23573
653.00	0.23607
654.00	0.23641
655.00	0.23667
656.00	0.23684
657.00	0.23701
658.00	0.23719
659.00	0.23736
660.00	0.23753
661.00	0.23771
662.00	0.23788
663.00	0.23805
664.00	0.23823
665.00	0.23840
666.00	0.23857
667.00	0.23875
668.00	0.23892
669.00	0.23909
670.00	0.23927
671.00	0.23949
672.00	0.24002
673.00	0.24056
674.00	0.24110
675.00	0.24164
676.00	0.24218
677.00	0.24271
678.00	0.24325
679.00	0.24379
680.00	0.24433
681.00	0.24487
682.00	0.24540
683.00	0.24594
684.00	0.24648
685.00	0.24702
686.00	0.24756
687.00	0.24809
688.00	0.24863
689.00	0.24917
690.00	0.24972
691.00	0.25028
692.00	0.25084
693.00	0.25140
694.00	0.25196
695.00	0.25252
696.00	0.25308
697.00	0.25364
698.00	0.25420
699.00	0.25476
700.00	0.25532
701.00	0.25588
702.00	0.25643
703.00	0.25699
704.00	0.25755
705.00	0.25811
706.00	0.25867
707.00	0.25923
708.00	0.25989
709.00	0.26057
710.00	0.26125
711.00	0.26193
712.00	0.26261
713.00	0.26329
714.00	0.26396
715.00	0.26464
716.00	0.26532
717.00	0.26600
718.00	0.26668
719.00	0.26736
720.00	0.26804
721.00	0.26872
722.00	0.26942
723.00	0.27024
724.00	0.27105
725.00	0.27187
726.00	0.27268
727.00	0.27350
728.00	0.27431
729.00	0.27513
730.00	0.27594
731.00	0.27676
732.00	0.27757
733.00	0.27839
734.00	0.27920
735.00	0.28025
736.00	0.28131
737.00	0.28236
738.00	0.28342
739.00	0.28448
740.00	0.28553
741.00	0.28659
742.00	0.28765
743.00	0.28870
744.00	0.28981
745.00	0.29097
746.00	0.29213
747.00	0.29329
748.00	0.29445
749.00	0.29561
750.00	0.29676
751.00	
752.00	
753.00	
754.00	
755.00	
756.00	
757.00	
758.00	
759.00	
760.00	
761.00	
762.00	
763.00	
764.00	
765.00	
766.00	
767.00	
768.00	
769.00	
770.00	
771.00	
772.00	
773.00	
774.00	
775.00	
776.00	
777.00	
778.00	
779.00	
780.00	
781.00	
782.00	
783.00	
784.00	
785.00	
786.00	
787.00	
788.00	
789.00	
790.00	
791.00	
792.00	
793.00	
794.00	
795.00	
796.00	
797.00	
798.00	
799.00	
800.00	
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
851.00	
852.00	
853.00	
854.00	
855.00	
856.00	
857.00	
858.00	
859.00	
860.00	
861.00	
862.00	
863.00	
864.00	
865.00	
866.00	
867.00	
868.00	
869.00	
870.00	
871.00	
872.00	
873.00	
874.00	
875.00	
876.00	
877.00	
878.00	
879.00	
880.00	
881.00	
882.00	
883.00	
884.00	
885.00	
886.00	
887.00	
888.00	
889.00	
890.00	
891.00	
892.00	
893.00	
894.00	
895.00	
896.00	
897.00	
898.00	
899.00	
900.00	
901.00	
902.00	
903.00	
904.00	
905.00	
906.00	
907.00	
908.00	
909.00	
910.00	
911.00	
912.00	
913.00	
914.00	
915.00	
916.00	
917.00	
918.00	
919.00	
920.00	
921.00	
922.00	
923.00	
924.00	
925.00	
926.00	
927.00	
928.00	
929.00	
930.00	
931.00	
932.00	
933.00	
934.00	
935.00	
936.00	
937.00	
938.00	
939.00	
940.00	
941.00	
942.00	
943.00	
944.00	
945.00	
946.00	
947.00	
948.00	
949.00	
950.00	
951.00	
952.00	
953.00	
954.00	
955.00	
956.00	
957.00	
958.00	
959.00	
960.00	
961.00	
962.00	
963.00	
964.00	
965.00	
966.00	
967.00	
968.00	
969.00	
970.00	
971.00	
972.00	
973.00	
974.00	
975.00	
976.00	
977.00	
978.00	
979.00	
980.00	
981.00	
982.00	
983.00	
984.00	
985.00	
986.00	
987.00	
988.00	
989.00	
990.00	
991.00	
992.00	
993.00	
994.00	
995.00	
996.00	
997.00	
998.00	
999.00	
1000.0	
1001.0	
1002.0	
1003.0	
1004.0	
1005.0	
1006.0	
1007.0	
1008.0	
1009.0	
1010.0	
1011.0	
1012.0	
1013.0	
1014.0	
1015.0	
1016.0	
1017.0	
1018.0	
1019.0	
1020.0	
1021.0	
1022.0	
1023.0	
1024.0	
1025.0	
1026.0	
1027.0	
1028.0	
1029.0	
1030.0	
1031.0	
1032.0	
1033.0	
1034.0	
1035.0	
1036.0	
1037.0	
1038.0	
1039.0	
1040.0	
1041.0	
1042.0	
1043.0	
1044.0	
1045.0	
1046.0	
1047.0	
1048.0	
1049.0	
1050.0	
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
