Wavelength (nm)	"152, CC 2007_2258, 11"
818.00	0.11140
819.00	0.10539
820.00	0.099375
821.00	0.093484
822.00	0.088224
823.00	0.082964
824.00	0.077704
825.00	0.072443
826.00	0.067183
827.00	0.063426
828.00	0.060224
829.00	0.057022
830.00	0.053821
831.00	0.050619
832.00	0.047417
833.00	0.044215
834.00	0.041636
835.00	0.039299
836.00	0.036961
837.00	0.034624
838.00	0.032287
839.00	0.029950
840.00	0.028396
841.00	0.027345
842.00	0.026293
843.00	0.025241
844.00	0.024190
845.00	0.023138
846.00	0.022086
847.00	0.021397
848.00	0.020788
849.00	0.020178
850.00	0.019569
851.00	0.018960
852.00	0.018350
853.00	0.017741
854.00	0.017131
855.00	0.016532
856.00	0.015944
857.00	0.015357
858.00	0.014769
859.00	0.014182
860.00	0.013450
861.00	0.012264
862.00	0.011078
863.00	0.0098921
864.00	0.0087060
865.00	0.0083086
866.00	0.0079616
867.00	0.0076146
868.00	0.0096148
869.00	0.011615
870.00	0.014295
871.00	0.017003
872.00	0.018932
873.00	0.020527
874.00	0.022121
875.00	0.021981
876.00	0.020673
877.00	0.017613
878.00	0.013095
879.00	0.0095244
880.00	0.0063787
881.00	0.0042380
882.00	0.0034851
883.00	0.0027322
884.00	0.0024139
885.00	0.0022730
886.00	0.0021321
887.00	0.0019912
888.00	0.0018503
889.00	0.0017094
890.00	0.0015685
891.00	0.0014938
892.00	0.0014938
893.00	0.0014938
894.00	0.0014938
895.00	0.0014938
896.00	0.0014938
897.00	0.0014938
898.00	0.0014938
899.00	0.0014938
900.00	0.0014938
901.00	
902.00	
903.00	
904.00	
905.00	
906.00	
907.00	
908.00	
909.00	
910.00	
911.00	
912.00	
913.00	
914.00	
915.00	
916.00	
917.00	
918.00	
919.00	
920.00	
921.00	
922.00	
923.00	
924.00	
925.00	
926.00	
927.00	
928.00	
929.00	
930.00	
931.00	
932.00	
933.00	
934.00	
935.00	
936.00	
937.00	
938.00	
939.00	
940.00	
941.00	
942.00	
943.00	
944.00	
945.00	
946.00	
947.00	
948.00	
949.00	
950.00	
951.00	
952.00	
953.00	
954.00	
955.00	
956.00	
957.00	
958.00	
959.00	
960.00	
961.00	
962.00	
963.00	
964.00	
965.00	
966.00	
967.00	
968.00	
969.00	
970.00	
971.00	
972.00	
973.00	
974.00	
975.00	
976.00	
977.00	
978.00	
979.00	
980.00	
981.00	
982.00	
983.00	
984.00	
985.00	
986.00	
987.00	
988.00	
989.00	
990.00	
991.00	
992.00	
993.00	
994.00	
995.00	
996.00	
997.00	
998.00	
999.00	
1000.0	
1001.0	
1002.0	
1003.0	
1004.0	
1005.0	
1006.0	
1007.0	
1008.0	
1009.0	
1010.0	
1011.0	
1012.0	
1013.0	
1014.0	
1015.0	
1016.0	
1017.0	
1018.0	
1019.0	
1020.0	
1021.0	
1022.0	
1023.0	
1024.0	
1025.0	
1026.0	
1027.0	
1028.0	
1029.0	
1030.0	
1031.0	
1032.0	
1033.0	
1034.0	
1035.0	
1036.0	
1037.0	
1038.0	
1039.0	
1040.0	
1041.0	
1042.0	
1043.0	
1044.0	
1045.0	
1046.0	
1047.0	
1048.0	
1049.0	
1050.0	
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
